%
%  Arff file example
%
@relation 'activity-recognition-data'
@attribute 'average_x' numeric
@attribute 'average_y' numeric
@attribute 'average_z' numeric 
@attribute 'standardDeviation_x' numeric
@attribute 'standardDeviation_y' numeric
@attribute 'standardDeviation_z' numeric 
@attribute 'averageAbsoluteDifference_x' numeric
@attribute 'averageAbsoluteDifference_y' numeric
@attribute 'averageAbsoluteDifference_z' numeric 
@attribute 'binnedDistribution1' numeric
@attribute 'binnedDistribution2' numeric
@attribute 'binnedDistribution3' numeric
@attribute 'binnedDistribution4' numeric
@attribute 'binnedDistribution5' numeric
@attribute 'binnedDistribution6' numeric
@attribute 'binnedDistribution7' numeric
@attribute 'binnedDistribution8' numeric
@attribute 'binnedDistribution9' numeric
@attribute 'binnedDistribution10' numeric
@attribute 'binnedDistribution11' numeric
@attribute 'binnedDistribution12' numeric
@attribute 'binnedDistribution13' numeric
@attribute 'binnedDistribution14' numeric
@attribute 'binnedDistribution15' numeric
@attribute 'binnedDistribution16' numeric
@attribute 'binnedDistribution17' numeric
@attribute 'binnedDistribution18' numeric
@attribute 'binnedDistribution19' numeric
@attribute 'binnedDistribution20' numeric
@attribute 'binnedDistribution21' numeric
@attribute 'binnedDistribution22' numeric
@attribute 'binnedDistribution23' numeric
@attribute 'binnedDistribution24' numeric
@attribute 'binnedDistribution25' numeric
@attribute 'binnedDistribution26' numeric
@attribute 'binnedDistribution27' numeric
@attribute 'binnedDistribution28' numeric
@attribute 'binnedDistribution29' numeric
@attribute 'binnedDistribution30' numeric
@attribute 'class' {'run','walk','stand','sit','down','up'}
@data
-1.6872426,-2.9554021,9.341796,0.42376348,0.5600951,0.40815958,0.1762595,0.3675965,0.15782344,1.0,0.0,1.0,2.0,4.0,2.0,91.0,88.0,4.0,7.0,1.0,0.0,3.0,148.0,12.0,21.0,5.0,4.0,2.0,4.0,3.0,1.0,1.0,157.0,34.0,0.0,3.0,0.0,0.0,1.0,'sit'
-1.6525747,-2.5232973,9.48296,0.059102487,0.061805364,0.05178559,0.047263555,0.05078001,0.042061087,2.0,1.0,7.0,27.0,46.0,45.0,46.0,18.0,7.0,1.0,2.0,5.0,29.0,0.0,36.0,40.0,42.0,40.0,3.0,2.0,2.0,2.0,8.0,31.0,0.0,54.0,57.0,33.0,12.0,2.0,'sit'
-1.6357198,-2.5146782,9.475875,0.06364072,0.06589485,0.051133633,0.050297096,0.050534878,0.041709747,1.0,6.0,16.0,41.0,57.0,34.0,25.0,11.0,7.0,2.0,2.0,2.0,8.0,11.0,29.0,52.0,49.0,31.0,10.0,5.0,4.0,8.0,43.0,0.0,58.0,51.0,0.0,22.0,14.0,1.0,'sit'
-1.6401248,-2.511614,9.48105,0.059724584,0.06100086,0.0438446,0.047918353,0.04955801,0.03620061,10.0,19.0,36.0,0.0,49.0,48.0,0.0,24.0,11.0,0.0,5.0,1.0,19.0,36.0,44.0,50.0,30.0,12.0,4.0,2.0,1.0,7.0,0.0,26.0,69.0,0.0,58.0,0.0,32.0,7.0,'sit'
-1.6435727,-2.523489,9.478941,0.06485104,0.06862636,0.04543845,0.04936816,0.053294867,0.037478104,9.0,21.0,45.0,50.0,40.0,19.0,10.0,4.0,1.0,1.0,1.0,2.0,2.0,6.0,23.0,79.0,45.0,27.0,10.0,4.0,2.0,12.0,0.0,25.0,65.0,0.0,58.0,0.0,34.0,5.0,'sit'
-1.6502762,-2.4901621,9.488899,0.07261824,0.07161482,0.054011464,0.057154514,0.054247066,0.041950893,9.0,0.0,6.0,70.0,0.0,42.0,56.0,0.0,11.0,6.0,6.0,12.0,22.0,38.0,52.0,30.0,19.0,13.0,6.0,0.0,3.0,11.0,26.0,45.0,72.0,0.0,22.0,17.0,5.0,1.0,'sit'
-1.6384009,-2.5164027,9.484113,0.082044564,0.0740222,0.053679354,0.06379296,0.059533104,0.04189202,2.0,1.0,7.0,7.0,22.0,72.0,37.0,24.0,17.0,4.0,12.0,7.0,22.0,35.0,42.0,38.0,20.0,23.0,5.0,3.0,1.0,3.0,9.0,25.0,54.0,64.0,31.0,7.0,5.0,1.0,'sit'
1.5426329,-9.821591,-0.32925037,0.14321533,0.07019627,0.20700431,0.10833661,0.053227913,0.15930249,1.0,0.0,0.0,2.0,6.0,31.0,63.0,67.0,21.0,8.0,8.0,3.0,8.0,26.0,100.0,30.0,15.0,8.0,2.0,1.0,2.0,3.0,4.0,5.0,15.0,35.0,47.0,43.0,34.0,12.0,'stand'
1.523862,-9.81929,-0.33729488,0.111825645,0.06142417,0.14479412,0.08533311,0.048381843,0.11402934,2.0,1.0,12.0,23.0,54.0,56.0,36.0,11.0,3.0,0.0,3.0,5.0,8.0,31.0,45.0,55.0,31.0,16.0,6.0,1.0,9.0,25.0,33.0,63.0,32.0,29.0,8.0,1.0,0.0,1.0,'stand'
1.5909005,-9.799945,-0.3382525,0.05982681,0.053553045,0.06745879,0.049056273,0.043172568,0.05206343,5.0,11.0,37.0,49.0,44.0,0.0,34.0,13.0,6.0,1.0,3.0,21.0,0.0,40.0,60.0,0.0,36.0,0.0,30.0,10.0,10.0,23.0,0.0,35.0,90.0,22.0,13.0,0.0,6.0,1.0,'stand'
1.5058573,-9.8214,-0.30262685,0.1453854,0.07385219,0.13170113,0.10191246,0.053999845,0.0893708,1.0,0.0,1.0,2.0,14.0,13.0,53.0,87.0,27.0,1.0,7.0,6.0,31.0,48.0,87.0,14.0,6.0,0.0,1.0,0.0,2.0,0.0,1.0,5.0,5.0,81.0,73.0,22.0,9.0,3.0,'stand'
1.4606553,-9.828872,-0.33748642,0.09731163,0.06482411,0.13420601,0.0755304,0.05110942,0.10277059,1.0,0.0,1.0,11.0,33.0,63.0,60.0,25.0,5.0,0.0,10.0,17.0,29.0,46.0,54.0,24.0,15.0,4.0,1.0,1.0,3.0,3.0,7.0,23.0,52.0,63.0,31.0,11.0,3.0,4.0,'stand'
1.4978137,-9.824657,-0.41448388,0.09169762,0.0604368,0.106074296,0.068340324,0.048673056,0.078131616,1.0,2.0,19.0,59.0,70.0,34.0,12.0,2.0,0.0,0.0,2.0,2.0,15.0,33.0,51.0,46.0,33.0,12.0,5.0,1.0,3.0,0.0,11.0,36.0,73.0,43.0,26.0,4.0,3.0,2.0,'stand'
